chocolate,fruity,caramel,peanutyalmondy,nougat,crispedricewafer,hard,bar,pluribus,sugarpercent,pricepercent,winpercent
0,0,0,1,0,0,0,0,1,0.31218888546938306,0.5117897585350111,23.438099216668586
1,0,1,1,0,1,0,1,0,0.6135128762046786,0.644452389072477,59.83485491504626
0,1,0,0,0,0,1,0,0,0.7127658743120161,0.9657327733146002,35.701106400572556
1,0,1,0,1,0,0,1,0,0.7193784071367495,0.434233476836847,61.200571894733066
1,0,1,0,1,0,0,1,0,0.5962170042258732,0.6416291552116863,73.05533199109213
0,1,0,0,0,0,0,0,0,0.17432254001500688,0.11799660036547961,27.912514010716993
0,0,0,1,0,0,0,0,1,0.31538312698894305,0.5122860751100804,23.518078575907722
1,0,0,0,0,0,0,0,1,0.22647100612740922,0.08593641779564569,34.999503360836975
0,1,0,0,0,0,1,0,1,0.8963847163096209,0.4716270989301042,46.90713561041031
0,0,0,0,0,0,0,0,1,0.8965586532135905,0.3273629445613066,38.11935606141178
0,1,0,0,0,0,0,0,1,0.20077654137304243,0.97600001,22.445341
0,1,0,0,0,0,0,0,1,0.3134914341285423,0.3038174274776575,44.68329025555097
1,0,0,0,0,0,0,0,1,0.2716276616747335,0.9650334805630032,39.13577826389631
1,0,1,1,1,0,0,1,0,0.5444173167652209,0.6644882827724574,76.5093120308549
0,1,0,0,0,0,0,0,1,0.9433456457341707,0.21213046107893435,63.11629435458149
0,1,0,0,0,0,0,0,1,0.07033346154457809,0.10710391079441767,59.6681913552604
1,0,0,0,0,1,0,1,0,0.31955912522475055,0.766666834055953,66.25652398901975
1,0,0,0,1,0,0,1,0,0.6108057020518352,0.5102313949991357,39.652782186898776
0,0,1,0,0,0,0,0,0,0.4043391653733016,0.31730917723582297,31.93567755864041
1,0,1,0,0,0,0,1,0,0.946048110423896,0.8574011457187283,64.14530097795434
1,0,0,1,0,0,0,1,0,0.6124479759413373,0.7774762862582165,70.03900725719164
0,1,0,0,0,0,0,0,0,0.2770164159981385,0.2721316429684121,52.57893198293809
0,1,0,0,0,0,0,0,1,0.11839279366500896,0.02212366198990259,42.33923304464552
0,1,0,0,0,0,0,0,1,0.29731546516839935,0.26303241971032093,47.45048157447237
0,1,0,0,0,0,0,0,1,0.06983518701931522,0.12019516462991384,61.09257902110629
1,0,0,1,0,0,0,0,0,0.98799998,0.6457121993648873,72.72699266919645
0,1,0,0,0,0,0,0,1,0.8871596096236973,0.311517372206315,45.68029863555146
0,1,0,0,0,0,1,0,1,0.5733540953462731,0.05165460461688659,34.973934602506695
0,0,0,1,1,0,0,1,0,0.4618652065997885,0.7665338498636366,45.97760314547027
1,0,1,0,1,0,0,1,0,0.724467963583679,0.4509334184837279,61.37088872110763
1,0,1,0,0,0,0,1,0,0.9650965420234867,0.8511666577454428,64.2295782114706
0,0,0,0,0,0,0,0,1,0.4624762150119359,0.4642797541303975,33.88170060288229
0,0,0,1,0,0,0,0,1,0.3044396315311099,0.516753302697305,23.339731528483334
1,0,0,1,0,0,0,0,1,0.6102777333781257,0.6307077770925209,69.81632043938666
1,0,0,0,0,0,0,0,0,0.3280548265905638,0.5198095074649566,42.96909882590635
1,0,0,1,0,0,0,1,0,0.47458062402964324,0.7569236317537008,50.12957009253151
0,1,0,0,0,0,0,0,0,0.15423420476898408,0.11882913769651399,27.216612445719978
0,0,1,0,0,0,0,0,1,0.9722105929272984,0.7691021587681851,32.87942638252969
1,0,0,0,0,1,0,1,0,0.4353941627661046,0.9272424073994384,62.45870894420523
1,0,0,1,0,0,0,0,1,0.4097321040395089,0.6556947853345684,72.65092722136025
0,1,0,0,0,0,1,0,0,0.7425387752296789,0.013741648262466578,39.26566378606926
1,0,1,1,1,0,0,1,0,0.5513582668834118,0.6443124335859426,77.00702026876752
1,0,0,0,0,0,0,0,1,0.22624075207096483,0.08217773086987903,34.8549855835788
0,1,0,0,0,0,1,0,0,0.05137121316316269,0.10233845652499783,39.4001042451755
1,0,0,1,0,0,0,1,0,0.46787399158140186,0.7710700346431045,50.31900224234503
0,1,0,0,0,0,0,0,1,0.29795828633339383,0.31972666768998576,44.888834492211416
1,0,1,0,1,0,0,1,0,0.7327051905034828,0.44618500129647337,61.206483409084235
1,0,0,0,0,0,0,0,0,0.30830946386042696,0.5091740114873345,43.26467544571217
0,0,0,0,0,0,1,0,1,0.7212067245261007,0.053266225278451054,30.110722563744186
0,1,0,0,0,0,0,0,1,0.08318323939586988,0.11211856426792859,60.193303658319124
1,0,1,1,1,0,0,1,0,0.5605811130718349,0.6545481489557939,76.4809338135049
0,1,0,0,0,0,1,0,0,0.7434626867429103,0.31570761860023333,38.595766693903514
0,1,0,0,0,0,1,0,0,0.04815228786372468,0.10937948005633187,39.32552199359884
1,0,0,0,0,0,0,1,0,0.3243901986029815,0.8677409877277381,48.069392365033536
1,0,0,1,0,0,0,1,0,0.6041016179252862,0.7680811314974604,71.2141688857696
0,0,0,0,0,0,0,0,0,0.012710247538082977,0.4848916282770592,45.705622516277785
0,0,0,1,1,0,0,1,0,0.4557784426501967,0.7561086433467418,45.89883113171858
0,1,0,0,0,0,0,0,1,0.7353479314099911,0.52707335736926,42.47389237299217
0,1,0,0,0,0,1,0,1,0.2675092418351456,0.11134261547731909,45.96459704729218
0,1,0,0,0,0,1,0,1,0.8610143414851511,0.2620919058285043,42.02162204262273
0,1,0,0,0,0,0,0,1,0.3125682300879306,0.2655263023735663,47.33783636084454
0,1,0,0,0,0,1,0,1,0.26632760774524583,0.11611381120599563,45.18293494200657
0,1,0,0,0,0,0,0,0,0.28215933832476653,0.28841588717702077,52.49658848101594
0,1,0,0,0,0,0,0,1,0.3205411471940481,0.3153601251340069,44.968672455425796
0,1,0,0,0,0,0,0,1,0.8720965026670097,0.3289076543023982,47.21252106906442
1,0,0,0,0,0,0,0,1,0.19909809466183345,0.5140934049624853,56.68578790601274
1,0,0,0,0,0,0,0,1,0.1743728456515264,0.01694372669215033,45.59220230119308
0,1,0,0,0,0,0,0,0,0.265288758230778,0.2984073949199239,52.930095887876774
1,0,1,1,1,0,0,1,0,0.5948715513259145,0.7752745619222758,57.69619637995475
1,0,0,0,0,0,0,1,0,0.3117261262393427,0.8465329671469621,47.61347009956012
0,1,0,0,0,0,0,0,1,0.06270793764234964,0.11980627736027243,52.61667770637867
0,1,0,0,0,0,1,0,0,0.7214557208412576,0.3347272493590354,39.865126643793694
1,0,0,0,0,0,0,1,0,0.3173112700286018,0.870248962942009,47.66528662961629
0,1,0,0,0,0,0,0,1,0.7352996369756691,0.507364616680679,36.334549167805584
0,1,0,0,0,0,1,0,1,0.8569321636597843,0.2889272177759508,42.2009346871348
1,0,0,1,0,0,0,1,0,0.3119653553025016,0.9259058433233078,54.451309553295374
1,0,0,0,0,1,0,1,0,0.32139702505860934,0.5329219825551783,76.04032511286141
0,0,0,0,0,0,0,0,1,0.47393273726076507,0.45860877413612594,33.69580580546888
1,0,0,1,0,0,0,0,1,0.6016511660012618,0.646676147760109,69.85205170001187
1,0,1,0,0,0,0,0,1,0.8603281762225459,0.8573913813990477,65.69438619745642
1,0,1,0,0,1,0,1,0,0.5388734906413155,0.9018225356917056,81.50288198028318
1,0,1,0,1,0,0,1,0,0.7228608473060538,0.43341559604420493,60.47212990652306
0,1,0,0,0,0,0,0,1,0.7349061418920577,0.4874575236402685,42.17524629225104
0,0,1,0,0,0,0,0,1,0.9681985471946238,0.7632956785495808,33.56968640368666
1,0,0,1,0,0,0,0,1,0.4168564220882372,0.6541475470923935,73.866319569204
1,0,0,0,0,0,0,0,1,0.22927644353867319,0.07679695344254434,33.570016361003184
0,0,0,0,0,0,0,0,1,0.9048848978555817,0.34149256285522855,37.64596424769858
0,1,0,0,0,0,1,0,1,0.08250725735499796,0.511113963523035,28.197254629403833
1,0,1,1,0,1,0,1,0,0.6013088526424479,0.6620016722492046,59.48586725585392
0,0,1,0,0,0,0,0,1,0.9668319429032003,0.7692277440470692,33.6145621397657
1,0,1,0,1,0,0,1,0,0.6022957440941993,0.6580423447278114,73.216959737573
0,1,0,0,0,0,0,0,1,0.1461264434182545,0.22237958894694773,66.90384393667435
0,0,1,0,0,0,0,0,0,0.42013266009686906,0.336664245319266,31.999797914668658
1,0,0,1,0,0,0,0,1,0.8207499699813398,0.6514767135916213,71.35731746785697
1,0,0,0,0,0,0,0,1,0.16870332877320174,0.015227749547622281,46.24084645683494
1,0,0,0,0,0,0,1,0,0.43262658098381507,0.9211217281336034,56.169276602357094
